01:15:56  [ESP32] Heap libre: 46176 B | Min: 19136 B
01:16:11  [ESP32] Heap libre: 45420 B | Min: 19136 B
01:16:28  [ESP32] Heap libre: 48120 B | Min: 35736 B
01:16:43  [ESP32] Heap libre: 47912 B | Min: 35736 B
01:16:58  [ESP32] Heap libre: 47900 B | Min: 35104 B
01:17:13  [ESP32] Heap libre: 31304 B | Min: 29044 B
01:17:28  [ESP32] Heap libre: 47900 B | Min: 19236 B
01:17:43  [ESP32] Heap libre: 47900 B | Min: 19236 B
01:17:58  [ESP32] Heap libre: 45080 B | Min: 19236 B
01:18:13  [ESP32] Heap libre: 45080 B | Min: 18204 B
01:18:28  [ESP32] Heap libre: 45112 B | Min: 18204 B
01:18:43  [ESP32] Heap libre: 46344 B | Min: 18204 B
01:18:58  [ESP32] Heap libre: 41992 B | Min: 18204 B
01:19:13  [ESP32] Heap libre: 46344 B | Min: 18204 B
01:19:28  [ESP32] Heap libre: 47940 B | Min: 18204 B
01:19:43  [ESP32] Heap libre: 46900 B | Min: 18204 B
01:19:58  [ESP32] Heap libre: 47940 B | Min: 18204 B
01:20:13  [ESP32] Heap libre: 47932 B | Min: 18204 B
01:20:28  [ESP32] Heap libre: 45112 B | Min: 18204 B
01:20:43  [ESP32] Heap libre: 47932 B | Min: 18204 B
01:20:58  [ESP32] Heap libre: 43808 B | Min: 18204 B
01:21:13  [ESP32] Heap libre: 43228 B | Min: 18204 B
01:21:28  [ESP32] Heap libre: 44004 B | Min: 18204 B
01:21:43  [ESP32] Heap libre: 45112 B | Min: 18204 B
01:21:58  [ESP32] Heap libre: 47932 B | Min: 18204 B
01:22:30  [ESP32] Heap libre: 46868 B | Min: 18204 B
01:22:45  [ESP32] Heap libre: 46324 B | Min: 18204 B
01:23:00  [ESP32] Heap libre: 47908 B | Min: 18204 B
01:23:15  [ESP32] Heap libre: 46324 B | Min: 18204 B
01:23:30  [ESP32] Heap libre: 47908 B | Min: 18204 B
01:23:45  [ESP32] Heap libre: 46324 B | Min: 18204 B
01:24:00  [ESP32] Heap libre: 38004 B | Min: 18204 B
01:24:31  [ESP32] Heap libre: 47908 B | Min: 18204 B
01:24:46  [ESP32] Heap libre: 46324 B | Min: 18204 B
01:25:01  [ESP32] Heap libre: 47908 B | Min: 18204 B
01:25:16  [ESP32] Heap libre: 45076 B | Min: 18204 B
01:25:31  [ESP32] Heap libre: 34144 B | Min: 18204 B
01:25:46  [ESP32] Heap libre: 45076 B | Min: 18204 B
01:26:01  [ESP32] Heap libre: 47908 B | Min: 18204 B
01:26:16  [ESP32] Heap libre: 47908 B | Min: 18204 B
01:26:31  [ESP32] Heap libre: 46868 B | Min: 10920 B
01:26:46  [ESP32] Heap libre: 45088 B | Min: 10920 B
01:27:01  [ESP32] Heap libre: 47908 B | Min: 10920 B
01:27:16  [ESP32] Heap libre: 47908 B | Min: 10920 B
01:28:21  [ESP32] Heap libre: 47928 B | Min: 10920 B
01:28:36  [ESP32] Heap libre: 47928 B | Min: 10920 B
01:28:51  [ESP32] Heap libre: 47928 B | Min: 10920 B
01:29:06  [ESP32] Heap libre: 47928 B | Min: 10920 B
01:29:21  [ESP32] Heap libre: 46888 B | Min: 10920 B
01:29:36  [ESP32] Heap libre: 45096 B | Min: 10920 B
01:29:51  [ESP32] Heap libre: 47928 B | Min: 10920 B
01:30:06  [ESP32] Heap libre: 46888 B | Min: 10920 B
01:30:21  [ESP32] Heap libre: 47916 B | Min: 10920 B
01:30:36  [ESP32] Heap libre: 46332 B | Min: 10920 B
01:30:51  [ESP32] Heap libre: 47916 B | Min: 10920 B
01:31:06  [ESP32] Heap libre: 47916 B | Min: 10920 B
01:31:21  [ESP32] Heap libre: 45096 B | Min: 10920 B
01:31:37  [ESP32] Heap libre: 47928 B | Min: 10920 B
01:31:52  [ESP32] Heap libre: 45028 B | Min: 10920 B
01:32:07  [ESP32] Heap libre: 47916 B | Min: 10920 B
01:32:22  [ESP32] Heap libre: 39056 B | Min: 10920 B
01:32:37  [ESP32] Heap libre: 44252 B | Min: 10920 B
01:32:52  [ESP32] Heap libre: 45028 B | Min: 10920 B
01:33:07  [ESP32] Heap libre: 45096 B | Min: 10920 B
01:33:22  [ESP32] Heap libre: 45036 B | Min: 10920 B
01:33:37  [ESP32] Heap libre: 47932 B | Min: 10920 B
01:33:52  [ESP32] Heap libre: 47928 B | Min: 10920 B
01:34:07  [ESP32] Heap libre: 45104 B | Min: 10920 B
01:34:22  [ESP32] Heap libre: 47916 B | Min: 10920 B
01:34:37  [ESP32] Heap libre: 45096 B | Min: 10920 B
01:34:52  [ESP32] Heap libre: 47916 B | Min: 10920 B
01:35:07  [ESP32] Heap libre: 39052 B | Min: 10920 B
02:23:56  [ESP32] Heap libre: 46412 B | Min: 37484 B
02:32:01  [ESP32] Heap libre: 47932 B | Min: 17716 B
02:32:16  [ESP32] Heap libre: 45112 B | Min: 17716 B
02:32:31  [ESP32] Heap libre: 47932 B | Min: 17716 B
02:32:46  [ESP32] Heap libre: 25828 B | Min: 10964 B
02:49:33  [ESP32] Heap libre: 44736 B | Min: 28140 B
02:50:18  [ESP32] Heap libre: 45540 B | Min: 28140 B
03:04:34  [ESP32] Heap libre: 48176 B | Min: 33448 B
03:04:49  [ESP32] Heap libre: 43528 B | Min: 31220 B
03:05:04  [ESP32] Heap libre: 21676 B | Min: 12292 B
03:05:19  [ESP32] Heap libre: 46880 B | Min: 6568 B
03:05:34  [ESP32] Heap libre: 28652 B | Min: 6568 B
03:24:49  [ESP32] Heap libre: 46368 B | Min: 6568 B
03:25:04  [ESP32] Heap libre: 47952 B | Min: 6568 B
03:25:19  [ESP32] Heap libre: 45132 B | Min: 6568 B
03:36:49  [ESP32] Heap libre: 47952 B | Min: 6568 B
03:37:04  [ESP32] Heap libre: 45328 B | Min: 6568 B
03:37:19  [ESP32] Heap libre: 46368 B | Min: 6568 B
03:37:34  [ESP32] Heap libre: 43544 B | Min: 6568 B
03:37:49  [ESP32] Heap libre: 46912 B | Min: 6568 B
04:00:24  [ESP32] Heap libre: 43172 B | Min: 30096 B
04:00:39  [ESP32] Heap libre: 47372 B | Min: 30096 B
04:00:54  [ESP32] Heap libre: 45776 B | Min: 30096 B
04:01:09  [ESP32] Heap libre: 47372 B | Min: 30096 B
04:01:24  [ESP32] Heap libre: 45788 B | Min: 30096 B
04:01:39  [ESP32] Heap libre: 42968 B | Min: 30096 B
04:01:54  [ESP32] Heap libre: 47372 B | Min: 30096 B
04:02:09  [ESP32] Heap libre: 44736 B | Min: 30096 B
04:02:24  [ESP32] Heap libre: 45776 B | Min: 30096 B
04:02:39  [ESP32] Heap libre: 47372 B | Min: 30096 B
04:15:20  [ESP32] Heap libre: 48016 B | Min: 33280 B
04:15:35  [ESP32] Heap libre: 46224 B | Min: 33280 B
04:15:50  [ESP32] Heap libre: 44988 B | Min: 33280 B
04:16:05  [ESP32] Heap libre: 47792 B | Min: 33280 B
04:16:20  [ESP32] Heap libre: 47800 B | Min: 33280 B
04:16:35  [ESP32] Heap libre: 46216 B | Min: 33280 B
04:16:50  [ESP32] Heap libre: 47800 B | Min: 33280 B
04:17:05  [ESP32] Heap libre: 47808 B | Min: 33280 B
04:17:20  [ESP32] Heap libre: 46800 B | Min: 33280 B
04:17:35  [ESP32] Heap libre: 46256 B | Min: 28980 B
04:17:50  [ESP32] Heap libre: 47840 B | Min: 28980 B
04:18:05  [ESP32] Heap libre: 46256 B | Min: 28980 B
04:18:20  [ESP32] Heap libre: 47840 B | Min: 28980 B
04:18:35  [ESP32] Heap libre: 46256 B | Min: 28980 B
04:18:50  [ESP32] Heap libre: 47840 B | Min: 28980 B
20:45:13  [ESP32] Heap libre: 46596 B | Min: 30708 B
20:45:28  [ESP32] Heap libre: 45832 B | Min: 30708 B
20:45:43  [ESP32] Heap libre: 47416 B | Min: 30708 B
20:45:58  [ESP32] Heap libre: 43008 B | Min: 30708 B
22:18:39  [ESP32] Heap libre: 47080 B | Min: 25816 B
22:18:54  [ESP32] Heap libre: 42256 B | Min: 24832 B
22:19:09  [ESP32] Heap libre: 44760 B | Min: 19372 B
22:19:24  [ESP32] Heap libre: 43524 B | Min: 19372 B
22:19:54  [ESP32] Heap libre: 46344 B | Min: 7256 B
22:20:09  [ESP32] Heap libre: 33668 B | Min: 7256 B
13:53:18  [ESP32] Heap libre: 8511971 B | Min: 8488915 B
13:53:33  [ESP32] Heap libre: 8511759 B | Min: 8488915 B
14:06:39  [ESP32] Heap libre: 8511963 B | Min: 8488835 B
14:15:40  [ESP32] Heap libre: 8511935 B | Min: 8488899 B
14:15:55  [ESP32] Heap libre: 8511711 B | Min: 8400967 B
15:16:48  [ESP32] Heap libre: 8475035 B | Min: 8454815 B
15:05:10  [ESP32] Heap libre: 8536711 B | Min: 8513343 B
15:05:25  [ESP32] Heap libre: 8536499 B | Min: 8484835 B
15:05:40  [ESP32] Heap libre: 8531843 B | Min: 8439847 B
15:13:45  [ESP32] Heap libre: 8537727 B | Min: 8489539 B
15:14:00  [ESP32] Heap libre: 8509707 B | Min: 8429815 B
15:14:15  [ESP32] Heap libre: 8536475 B | Min: 8429815 B
15:14:30  [ESP32] Heap libre: 8509707 B | Min: 8429815 B
15:14:45  [ESP32] Heap libre: 8537515 B | Min: 8427723 B
15:15:00  [ESP32] Heap libre: 8530779 B | Min: 8427723 B
15:15:15  [ESP32] Heap libre: 8535719 B | Min: 8427723 B
15:15:30  [ESP32] Heap libre: 8535751 B | Min: 8427723 B
15:15:45  [ESP32] Heap libre: 8535751 B | Min: 8427723 B
15:16:00  [ESP32] Heap libre: 8536295 B | Min: 8427723 B
15:16:15  [ESP32] Heap libre: 8509515 B | Min: 8427723 B
16:28:33  [ESP32] Heap libre: 8537751 B | Min: 8512291 B
16:28:48  [ESP32] Heap libre: 8533119 B | Min: 8467215 B
19:30:36  [ESP32] Heap libre: 8473436 B | Min: 8456040 B
19:30:51  [ESP32] Heap libre: 8472952 B | Min: 8433568 B
19:31:06  [ESP32] Heap libre: 8473000 B | Min: 8433568 B
19:41:05  [ESP32] Heap libre: 8467692 B | Min: 8450424 B
19:41:20  [ESP32] Heap libre: 8467476 B | Min: 8450400 B
19:41:35  [ESP32] Heap libre: 8467428 B | Min: 8450400 B
19:41:50  [ESP32] Heap libre: 8467476 B | Min: 8450400 B
19:42:05  [ESP32] Heap libre: 8467476 B | Min: 8450400 B
19:42:20  [ESP32] Heap libre: 8467476 B | Min: 8450400 B
19:42:35  [ESP32] Heap libre: 8467428 B | Min: 8450400 B
19:42:50  [ESP32] Heap libre: 8467508 B | Min: 8450400 B
19:43:05  [ESP32] Heap libre: 8467508 B | Min: 8450400 B
19:43:20  [ESP32] Heap libre: 8467508 B | Min: 8450400 B
19:43:35  [ESP32] Heap libre: 8467460 B | Min: 8450400 B
19:43:50  [ESP32] Heap libre: 8467508 B | Min: 8450400 B
19:44:05  [ESP32] Heap libre: 8467460 B | Min: 8450400 B
19:44:20  [ESP32] Heap libre: 8467508 B | Min: 8450400 B
19:44:35  [ESP32] Heap libre: 8467460 B | Min: 8450400 B
19:44:50  [ESP32] Heap libre: 8467508 B | Min: 8450400 B
19:45:05  [ESP32] Heap libre: 8467460 B | Min: 8450400 B
19:45:20  [ESP32] Heap libre: 8467508 B | Min: 8450400 B
19:45:35  [ESP32] Heap libre: 8467460 B | Min: 8450400 B
19:47:12  [ESP32] Heap libre: 8467680 B | Min: 8450368 B
